"Activity Date","Name","Address","City","Description"
02/17/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/17/2021,"GYB LA, LLC","3435 WILSHIRE BLVD STE 123","LOS ANGELES","RESTAURANT (151 + ) SEATS HIGH RISK"
02/17/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
02/16/2021,"INTERNATIONAL BUFFET","2323 VIA CAMPO ","MONTEBELLO","RESTAURANT (151 + ) SEATS HIGH RISK"
02/16/2021,"ZOO CULTURE","6455 DE SOTO AVE ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
02/16/2021,"LEGACY BRAZILLIAN JIU JITSU","330 N VICTORY BLVD N ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
02/16/2021,"YOLI NAILS SPA","8610 VAN NUYS BLVD 2 ","PANORAMA CITY","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
02/16/2021,"INTERNATIONAL BUFFET","2323 VIA CAMPO ","MONTEBELLO","RESTAURANT (151 + ) SEATS HIGH RISK"
02/16/2021,"FITNESS 19","1310 W ROSECRANS AVENUE ","GARDENA","GYMS AND FITNESS CENTERS (NO POOL)"
02/16/2021,"LAS ISLAS MARIAS","1418 W BEVERLY BLVD","MONTEBELLO","RESTAURANT (61-150) SEATS HIGH RISK"
02/16/2021,"WORLD GYM","6656 FOOTHILL BLVD ","TUJUNGA","GYMS AND FITNESS CENTERS (NO POOL)"
02/16/2021,"ENRICH FIT GYM , PMA","2422 W VICTORY BLVD ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
02/16/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
02/16/2021,"LA DONA MARISCOS ESTILO SINALOA","326 E PICO BLVD ","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK"
02/14/2021,"EL PESCADOR #5","9849 ATLANTIC AVE STE P","SOUTH GATE","RESTAURANT (31-60) SEATS HIGH RISK"
02/14/2021,"MARISCOS LOS KABOS          ","4168 W BEVERLY BLVD ","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK"
02/14/2021,"1ST PLACE SPORTS COMPLEX","9400 PENFIELD AVE ","CHATSWORTH","GYMS AND FITNESS CENTERS (NO POOL)"
02/13/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/13/2021,"NO PROGRAM IDENTIFIER","4740 E OLYMPIC BLVD ","LOS ANGELES","STREET VENDING"
02/13/2021,"ALL OLYMPIA GYMNASTICS CENTER","5034 PARKWAY CALABASAS ST ","CALABASAS","GYMS AND FITNESS CENTERS (NO POOL)"
02/13/2021,"GOLD'S GYM VALENCIA","24445 TOWN CENTER DR ","VALENCIA","GYMS AND FITNESS CENTERS (NO POOL)"
02/13/2021,"STEELCRAFT BELLFLOWER, LP","16500 BELLFLOWER BLVD ","BELL FLOWER","SHOPPING MALLS"
02/13/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/13/2021,"THE GALLERY RESTAURANT","30768 RUSSELL RANCH RD # C","WESTLAKE VILLAGE","RESTAURANT (61-150) SEATS HIGH RISK"
02/13/2021,"WALLERS GYM JAM","26515 REUTHER AVE ","SANTA CLARITA","GYMS AND FITNESS CENTERS (NO POOL)"
02/13/2021,"R-RANCH MARKET #6           ","1800 N LONG BEACH BLVD ","COMPTON","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
02/13/2021,"FOOD 4 LESS #358              ","2090 S GAREY AVE ","POMONA","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
02/13/2021,"IKON STRENGTH AND PERFORMANCE","921 VAN NESS AVE #D ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
02/13/2021,"RIBS N' KABOB","18925 NORWALK BLVD","ARTESIA","RESTAURANT (0-30) SEATS HIGH RISK"
02/13/2021,"CHUNG DAM TOFU","18921 NORWALK BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK"
02/13/2021,"NUMERO UNO MARKET #120","420 S LONG BEACH BLVD","COMPTON","FOOD MKT RETAIL (2,000+ SF) HIGH RISK"
02/13/2021,"NUMERO UNO MARKET #107-MEAT","4700 S BROADWAY ","LOS ANGELES","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
02/13/2021,"THE ATMOSPHERE","4608 SAN FERNANDO RD","GLENDALE","RESTAURANT (0-30) SEATS HIGH RISK"
02/12/2021,"CABO CANTINA                  ","6669 HOLLYWOOD BLVD ","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
02/12/2021,"SAN YA BBQ RESTAURANT","2897 W OLYMPIC BLVD STE 105","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
02/12/2021,"ZEPPIN SUSHI","16733 VENTURA BLVD","ENCINO","RESTAURANT (61-150) SEATS HIGH RISK"
02/12/2021,"PRECIOSA'S BEAUTY SALON","15045 ROSCOE BLVD ","PANORAMA CITY","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
02/12/2021,"THE SLY FOX IRISH PUB","16829 PRAIRIE AVE ","LAWNDALE","CONSUMER FOOD"
02/12/2021,"FASHION NAIL SPA & HAIR","15029 ROSCOE BLVD ","PANORAMA CITY","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
02/12/2021,"ZINQUE","939 S BROADWAY # 1","LOS ANGELES","RESTAURANT (31-60) SEATS HIGH RISK"
02/12/2021,"SCHOONER'S PATIO GRILLE     ","2797 W AVENUE L ","LANCASTER","RESTAURANT (151 + ) SEATS HIGH RISK"
02/12/2021,"CREW CUTS BARBERSHOP","8208 VAN NUYS BLVD ","PANORAMA CITY","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
02/12/2021,"BAO'S HAIR STYLIST","14417 ROSCOE BLVD ","PANORAMA CITY","PERSONAL CARE (NAIL SALONS,UNP. MASSAGE,SPAS)"
02/12/2021,"UNIVERSAL BAR & GRILL","4093 LANKERSHIM BLVD","NORTH HOLLYWOOD","RESTAURANT (31-60) SEATS HIGH RISK"
02/12/2021,"MAYID MARTIAL ARTS","9719 RESEDA BLVD ","NORTHRIDGE","GYMS AND FITNESS CENTERS (NO POOL)"
02/12/2021,"A CLASS BARBER AND BEAUTY SALON","13860 CHASE ST ","PANORAMA CITY","HAIR SALONS/ BARBERSHOPS"
02/11/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
02/11/2021,"PROPTA PERSONAL TRAINER ASSOCIATION/FLEX GYM","20971 WARNER CENTER LN ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
02/11/2021,"PUCHICA GUATEMALAN BAR & GRILL","4523 SEPULVEDA BLVD","SHERMAN OAKS","RESTAURANT (61-150) SEATS HIGH RISK"
02/11/2021,"AZTECA MEXICAN TACOS","856 W PALMDALE BLVD ","PALMDALE","RESTAURANT (31-60) SEATS HIGH RISK"
02/11/2021,"SMART & FINAL 920","5038 W AVENUE N","PALMDALE","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
02/11/2021,"ABURI SUSHI & RAMEN","12155 SOUTH ST","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK"
02/11/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/11/2021,"KARENS KITCHEN 2","840 W PALMDALE BLVD","PALMDALE","RESTAURANT (31-60) SEATS HIGH RISK"
02/11/2021,"SMITHFIELD FOODS INC.","3049 E VERNON AVE ","VERNON","CONSUMER FOOD"
02/11/2021,"EL MAGUEY SPORTS BAR AND GRILL","5278 E WASHINGTON BLVD","COMMERCE","RESTAURANT (61-150) SEATS HIGH RISK"
02/11/2021,"USA FITNESS (NEW DBA - SPEAKEASY FITNESS)","7869 VAN NUYS BLVD ","PANORAMA CITY","GYMS AND FITNESS CENTERS (NO POOL)"
02/10/2021,"PIZZA CHALET","461 S CITRUS AVE","COVINA","RESTAURANT (31-60) SEATS HIGH RISK"
02/10/2021,"EBOSHI RAMEN BAR","2383 LOMITA BLVD # 116","LOMITA","RESTAURANT (31-60) SEATS HIGH RISK"
02/10/2021,"6 DEGREE FITNESS","4050 HARDWICK ST ","LAKEWOOD","GYMS AND FITNESS CENTERS (NO POOL)"
02/10/2021,"EREWHON ORGANIC GROCER & CAFE - KITCHEN","26767 AGOURA RD","CALABASAS","RESTAURANT (0-30) SEATS HIGH RISK"
02/10/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/10/2021,"THE COPPER MINE","21733 VENTURA BLVD","WOODLAND HILLS","RESTAURANT (151 + ) SEATS HIGH RISK"
02/09/2021,"GRUB BURGER BAR","13815 WHITTIER BLVD","WHITTIER","RESTAURANT (151 + ) SEATS HIGH RISK"
02/09/2021,"RISING WAVE ATHLETICS","232 CALIFORNIA ST ","EL SEGUNDO","GYMS AND FITNESS CENTERS (NO POOL)"
02/09/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
02/09/2021,"LEGACY BRAZILLIAN JIU JITSU","330 N VICTORY BLVD N ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
02/09/2021,"WORLD GYM","6656 FOOTHILL BLVD ","TUJUNGA","GYMS AND FITNESS CENTERS (NO POOL)"
02/09/2021,"LULU'S RESTAURANT","16900 ROSCOE BLVD ","VAN NUYS","RESTAURANT (61-150) SEATS HIGH RISK"
02/09/2021,"THE GARDENS CASINO - HAWAIIAN GARDENS CASINO","11871 CARSON RD ","HAWAIIAN GARDENS","CARDROOMS/ CASINOS/ BINGO"
02/09/2021,"ORIGINAL ROADHOUSE GRILL#660","15156 E WHITTIER BLVD ","WHITTIER","RESTAURANT (151 + ) SEATS HIGH RISK"
02/09/2021,"DAL RAE RESTAURANT","9023 WASHINGTON BLVD ","PICO RIVERA","RESTAURANT (151 + ) SEATS HIGH RISK"
02/09/2021,"ROMERO'S BARBERSHOP","22940 LYONS AVE UNIT 1/2 ","NEWHALL","HAIR SALONS/ BARBERSHOPS"
02/09/2021,"CRAIG REALTY GROUP-CITADEL LLC","100 CITADEL DR STE 480 ","COMMERCE","SHOPPING MALLS"
02/08/2021,"TACOS LOS CARNALILLOS, INC","762 E SLAUSON AVE","LOS ANGELES","MOBILE FOOD FACILITY - TRUCK HIGH RISK"
02/08/2021,"FITNESS 19","1310 W ROSECRANS AVENUE ","GARDENA","GYMS AND FITNESS CENTERS (NO POOL)"
02/08/2021,"BICYCLE CASINO","888 BICYCLE DR ","BELL GARDENS","CARDROOMS/ CASINOS/ BINGO"
02/08/2021,"SOL","12775 MILLENIUM DR STE 160","PLAYA VISTA","RESTAURANT (61-150) SEATS HIGH RISK"
02/07/2021,"THE DIVE OYSTER BAR","5708 ROSEMEAD BLVD # 100","TEMPLE CITY","RESTAURANT (61-150) SEATS HIGH RISK"
02/07/2021,"DUFFER'S BAR & GRILL","1000 LAS LOMAS RD","DUARTE","RESTAURANT (61-150) SEATS HIGH RISK"
02/07/2021,"LUCILLE'S SMOKEHOUSE BARBQUE","11338 SOUTH ST ","CERRITOS","RESTAURANT (151 + ) SEATS HIGH RISK"
02/07/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/07/2021,"TUBBY'S TAVERN              ","16509 LEFFINGWELL RD ","WHITTIER","RESTAURANT (31-60) SEATS HIGH RISK"
02/07/2021,"BLACK ANGUS STEAKHOUSE","15500 E WHITTIER BLVD ","WHITTIER","RESTAURANT (151 + ) SEATS HIGH RISK"
02/07/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/06/2021,"WOOD RANCH BBQ & GRILL","110 N FIRST ST","BURBANK","RESTAURANT (151 + ) SEATS HIGH RISK"
02/06/2021,"BARACOA CUBAN RESTAURANT    ","3175 GLENDALE BLVD ","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK"
02/06/2021,"IHOP #3095                  ","4070 LINCOLN BLVD ","MARINA DEL REY","RESTAURANT (61-150) SEATS HIGH RISK"
02/06/2021,"BJ'S PIZZA GRILL BREWERY      ","24320 TOWN CENTER DR STE #140","VALENCIA","RESTAURANT (151 + ) SEATS HIGH RISK"
02/06/2021,"BOBBYS COFFEE SHOP            ","22821 VENTURA BLVD ","WOODLAND HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/06/2021,"ARCADIA BRIDGE CENTER","333 N SANTA ANITA 11 ","ARCADIA","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
02/06/2021,"DENNY'S RESTAURANT            ","1257 W RANCHO VISTA BLVD ","PALMDALE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/06/2021,"PAOLIS ITALIAN KITCHEN","21020 VENTURA BLVD","WOODLAND HILLS","RESTAURANT (31-60) SEATS HIGH RISK"
02/06/2021,"LA BARCA GRILL & CANTINA","11010 PARAMOUNT BLVD ","DOWNEY","RESTAURANT (151 + ) SEATS HIGH RISK"
02/06/2021,"THE ROADHOUSE","3103 W 190TH ST","TORRANCE","RESTAURANT (31-60) SEATS HIGH RISK"
02/06/2021,"ACAPULCO RESTAURANT Y CANTINA","9021 E FIRESTONE BLVD","DOWNEY","RESTAURANT (151 + ) SEATS HIGH RISK"
02/06/2021,"EATALY","10250 SANTA MONICA BLVD STE 2705","LOS ANGELES","RESTAURANT (0-30) SEATS HIGH RISK"
02/06/2021,"5 STAR TOBACCO","2301 COLORADO BLVD BLVD ","LOS ANGELES","TOBACCO SHOPS"
02/06/2021,"BJ'S RESTAURANT & BREWHOUSE   ","11101 E 183RD ST ","CERRITOS","RESTAURANT (151 + ) SEATS HIGH RISK"
02/06/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/06/2021,"BJ'S RESTAURANT               ","1325 W RANCHO VISTA BLVD ","PALMDALE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/05/2021,"RANCHO GRANDE","10935 E ROSECRANS AVE ","NORWALK","RESTAURANT (31-60) SEATS HIGH RISK"
02/05/2021,"CASA MARTIN","1251 3RD ST PROMENADE","SANTA MONICA","RESTAURANT (61-150) SEATS HIGH RISK"
02/05/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/05/2021,"MARKWINS BEAUTY BRANDS","22067 FERRERO PKWY ","CITY OF INDUSTRY","OFFICE SITES"
02/05/2021,"CANDY CAT TOO","6816 WINNETKA AVE","WINNETKA","RESTAURANT (31-60) SEATS MODERATE RISK"
02/05/2021,"MEDRANO'S MEXICAN RESTAURANT","1173 W RANCHO VISTA BLVD","PALMDALE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/05/2021,"THE WOODMAN LA","13615 VENTURA BLVD","SHERMAN OAKS","RESTAURANT (61-150) SEATS HIGH RISK"
02/05/2021,"CASA JALISCO","10062 SAN FERNANDO RD","PACOIMA","RESTAURANT (0-30) SEATS HIGH RISK"
02/05/2021,"SELF MADE TRAINING FACILITY","1705 W GARVEY AVE ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
02/05/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
02/05/2021,"APPLEBEE'S NEIGHBORHOOD GRILL & BAR","39720 W 10TH ST W ","PALMDALE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/05/2021,"YI KEBAB & BAR","610 E GARVEY AVE","MONTEREY PARK","RESTAURANT (31-60) SEATS HIGH RISK"
02/05/2021,"ANYTIME FITNESS","2217 HUNTINGTON DR ","DUARTE","GYMS AND FITNESS CENTERS (NO POOL)"
02/05/2021,"BUFFALO WILD WINGS #500","9301 TAMPA AVE","NORTHRIDGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/04/2021,"MARISCOS URUAPAN","16034 ARROW HWY","IRWINDALE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/04/2021,"COACH'S TAVERN","43451 GADSDEN AVE ","LANCASTER","RESTAURANT (61-150) SEATS HIGH RISK"
02/04/2021,"HACHI RESTAURANT","1880 W CARSON ST STE #A","TORRANCE","RESTAURANT (31-60) SEATS HIGH RISK"
02/04/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
02/04/2021,"PINE TREE KOREAN BBQ","8322 RESEDA BLVD ","NORTHRIDGE","RESTAURANT (61-150) SEATS HIGH RISK"
02/04/2021,"USA FITNESS (NEW DBA - SPEAKEASY FITNESS)","7869 VAN NUYS BLVD ","PANORAMA CITY","GYMS AND FITNESS CENTERS (NO POOL)"
02/04/2021,"HARDCORE FITNESS","20715 CENTRE POINTE PKWY, UNITB ","SANTA CLARITA","GYMS AND FITNESS CENTERS (NO POOL)"
02/04/2021,"FIT NATION GYM","12000 FIRESTONE BLVD ","NORWALK","GYMS AND FITNESS CENTERS (NO POOL)"
02/04/2021,"PROPTA PERSONAL TRAINER ASSOCIATION/FLEX GYM","20971 WARNER CENTER LN ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
02/04/2021,"HIKARI JAPANESE BBQ AND GRILL","2383 LOMITA BLVD # 102","LOMITA","RESTAURANT (31-60) SEATS HIGH RISK"
02/03/2021,"LA CASA DEL COCINERO","14323 WHITTIER BLVD","WHITTIER","RESTAURANT (61-150) SEATS HIGH RISK"
02/03/2021,"RALPHS MARKET #205","4754 COMMONS WAY ","CALABASAS","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
02/03/2021,"MADHOUSE GAINS ASYLUM","4901 PATATA ST SUITE #108 ","CUDAHY","GYMS AND FITNESS CENTERS (NO POOL)"
02/03/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
02/03/2021,"ALBERTSON'S #359","9022 BALBOA BLVD ","NORTHRIDGE","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
02/03/2021,"RITE AID #5573                ","10989 VENTURA BLVD ","STUDIO CITY","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
02/03/2021,"SHIFT SOUTH BAY","22216 PALOS VERDES BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
02/03/2021,"CRUIZERS EXPRESS CAR WASH","740 WASHINGTON BLVD ","MONTEBELLO","LIMITED SERVICES"
02/03/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
02/02/2021,"WORLD GYM","6656 FOOTHILL BLVD ","TUJUNGA","GYMS AND FITNESS CENTERS (NO POOL)"
02/02/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/02/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
02/02/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
02/02/2021,"BARTLEIN & COMPANY INC.","25031 AVENUE STANFORD UNIT 110 ","SANTA CLARITA","OFFICE SITES"
02/02/2021,"PODI DOSA","17607 PIONEER BLVD","ARTESIA","RESTAURANT (61-150) SEATS HIGH RISK"
02/02/2021,"ENRICH FIT GYM , PMA","2422 W VICTORY BLVD ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
02/02/2021,"ZOO CULTURE","6455 DE SOTO AVE ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
02/01/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
02/01/2021,"BULLDOG GYM","757 E ARROW HWY ","GLENDORA","GYMS AND FITNESS CENTERS (NO POOL)"
02/01/2021,"ROMERO'S BARBERSHOP","22940 LYONS AVE UNIT 1/2 ","NEWHALL","HAIR SALONS/ BARBERSHOPS"
02/01/2021,"ST. JOHN BOSCO","13640 BELLFLOWER BLVD ","BELLFLOWER","YOUTH SPORTS AND ADULT RECREATIONAL SPORTS"
02/01/2021,"FIT NATION GYM","12000 FIRESTONE BLVD ","NORWALK","GYMS AND FITNESS CENTERS (NO POOL)"
01/31/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
01/31/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
01/31/2021,"SUPERIOR GROCERS #128","14433 RAMONA BLVD ","BALDWIN PARK","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
01/31/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
01/30/2021,"BC CAFE","701 INDIAN HILL BLVD S ","CLAREMONT","RESTAURANT (61-150) SEATS HIGH RISK"
01/30/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
01/30/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
01/30/2021,"STATER BROS #145","37218 E 47TH ST E ","PALMDALE","FOOD MKT RETAIL (1-1,999 SF) HIGH RISK"
01/30/2021,"TEMPO CANTINA","12056 PARAMOUNT BLVD","DOWNEY","RESTAURANT (61-150) SEATS HIGH RISK"
01/30/2021,"LET'S GO KEBAB","643 W DUARTE RD # B","ARCADIA","RESTAURANT (31-60) SEATS HIGH RISK"
01/30/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
01/29/2021,"BIG JIM'S                     ","8950 LAUREL CANYON BLVD ","SUN VALLEY","RESTAURANT (31-60) SEATS HIGH RISK"
01/29/2021,"FIT NATION GYM","12000 FIRESTONE BLVD ","NORWALK","GYMS AND FITNESS CENTERS (NO POOL)"
01/29/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
01/29/2021,"ANYTIME FITNESS","2217 HUNTINGTON DR ","DUARTE","GYMS AND FITNESS CENTERS (NO POOL)"
01/29/2021,"COPPER STILL GRILL","610 S MYRTLE AVE","MONROVIA","RESTAURANT (61-150) SEATS HIGH RISK"
01/29/2021,"VONS","9119 RESEDA BLVD ","NORTHRIDGE","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
01/29/2021,"FITNESS 19 - GARDENA","1310 ROSECRANS AVE ","GARDENA","GYMS AND FITNESS CENTERS (NO POOL)"
01/29/2021,"SELF MADE TRAINING FACILITY","1705 WEST GARVEY AVE NORTH ","WEST COVINA","GYMS AND FITNESS CENTERS (NO POOL)"
01/29/2021,"VONS MARKET #2029","4033 W AVENUE L ","LANCASTER","FOOD MKT RETAIL (2,000+ SF) LOW RISK"
01/29/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
01/29/2021,"BREWZ","7921 CANOGA AVE STE B","CANOGA PARK","RESTAURANT (31-60) SEATS HIGH RISK"
01/29/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
01/29/2021,"COAST FITNESS - SOUTH BAY","5001 W EL SEGUNDO BLVD ","HAWTHORNE","GYMS AND FITNESS CENTERS (NO POOL)"
01/29/2021,"SHIFT SOUTH BAY","22216 PALOS VERDES BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
01/29/2021,"POWERHOUSE GYM","22715 HAWTHORNE BLVD ","TORRANCE","GYMS AND FITNESS CENTERS (NO POOL)"
01/29/2021,"URBAN SOCCER 5 CENTER","12000 FIRESTONE BLVD ","NORWALK","GYMS AND FITNESS CENTERS (NO POOL)"
01/28/2021,"THE BOUNTY ROOM","4419 TORRANCE BLVD","TORRANCE","RESTAURANT (0-30) SEATS HIGH RISK"
01/28/2021,"HARDCORE FITNESS","20715 CENTRE POINTE PKWY, UNITB ","SANTA CLARITA","GYMS AND FITNESS CENTERS (NO POOL)"
01/28/2021,"PROJECT N1 AIRSOFT FIELD","12440 EXLINE ST ","EL MONTE","FAMILY ENTERTAINMENT (BOWLING, MINI GOLF,ETC)"
01/28/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
01/28/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
01/28/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
01/28/2021,"USA FITNESS (NEW DBA - SPEAKEASY FITNESS)","7869 VAN NUYS BLVD ","PANORAMA CITY","GYMS AND FITNESS CENTERS (NO POOL)"
01/27/2021,"TIN HORN FLATS BAR & GRILL  ","2623 W MAGNOLIA BLVD ","BURBANK","RESTAURANT (61-150) SEATS HIGH RISK"
01/27/2021,"CRONIES SPORTS GRILL","5687 KANAN RD","AGOURA HILLS","RESTAURANT (61-150) SEATS HIGH RISK"
01/27/2021,"GRANDMA'S KITCHEN KAFFE","316 E PICO BLVD STE ABC","LOS ANGELES","RESTAURANT (61-150) SEATS HIGH RISK"
01/27/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
01/27/2021,"NOVO CAFE","30770 RUSSELL RANCH RD # G","WESTLAKE VILLAGE","RESTAURANT (151 + ) SEATS HIGH RISK"
01/26/2021,"WORLD GYM","6656 FOOTHILL BLVD ","TUJUNGA","GYMS AND FITNESS CENTERS (NO POOL)"
01/26/2021,"ATHLETIC SOCIETY - WEST VALLEY","22235 SHERMAN WAY ","CANOGA PARK","GYMS AND FITNESS CENTERS (NO POOL)"
01/26/2021,"6 DEGREE FITNESS","4050 HARDWICK ST ","LAKEWOOD","GYMS AND FITNESS CENTERS (NO POOL)"
01/26/2021,"ENRICH FIT GYM , PMA","2422 W VICTORY BLVD ","BURBANK","GYMS AND FITNESS CENTERS (NO POOL)"
01/26/2021,"ST. JOHN BOSCO","13640 BELLFLOWER BLVD ","BELLFLOWER","YOUTH SPORTS AND ADULT RECREATIONAL SPORTS"
01/26/2021,"ZOO CULTURE","6455 DE SOTO AVE ","WOODLAND HILLS","GYMS AND FITNESS CENTERS (NO POOL)"
01/26/2021,"NO LIMIT TRAINING FACILITY ","5440 VINELAND AVE ","NORTH HOLLYWOOD ","GYMS AND FITNESS CENTERS (NO POOL)"
